author,id,title
35,25609,"A Child's Garden of Verses"
35,426,"Tales and Fantasies"
35,45438,"La isla del tesoro (Spanish)"
35,12732,"A collection of short-stories"
35,535,"Travels with a donkey in the Cevennes"
35,32954,"The Black Arrow: A Tale of the Two Roses"
35,2038,"The Lock and Key Library: Classic Mystery and Detective Stories: Modern English"
35,30990,"The Works of Robert Louis Stevenson - Swanston Edition, Vol. 16"
35,1024,"The Wrecker"
35,49424,"Die Schatzinsel: Roman (German)"
35,30700,"The Works of Robert Louis Stevenson - Swanston Edition, Vol. 04"
35,492,"Essays in the Art of Writing"
35,30598,"The Works of Robert Louis Stevenson - Swanston Edition, Vol. 09"
35,637,"The Letters of Robert Louis Stevenson — Volume 2"
35,464,"In the Sou"
35,10135,"The Great English Short-Story Writers, Volume 1"
35,21964,"The Short-story"
2183,20228,"Noli Me Tangere (Tagalog)"
2183,47629,"Ang Filibusterismo (Karugtóng ng Noli Me Tangere) (Tagalog)"
2183,10676,"The Reign of Greed"
2183,35899,"The Philippines a Century Hence"
2183,6737,"The Social Cancer: A Complete English Version of Noli Me Tangere"
2183,18600,"Mi Ultimo Adiós (Spanish)"
2183,17116,"Ang Liham ni Dr. Jose Rizal sa mga Kadalagahan sa Malolos, Bulakan (Tagalog)"
2183,48438,"Rizal's own story of his life"
2183,47584,"Noli me tángere (Spanish)"
2183,6885,"The Indolence of the Filipino"
2183,30903,"El Filibusterismo (Continuación del Noli me tángere) (Spanish)"
2183,30278,"Friars and Filipinos"
2183,73848,"The hero of the Filipinos :  The story of José Rizal, poet, patriot and martyr"
2183,30211,"Au Pays des Moines (Noli me Tangere) (French)"
2183,21848,"Noli me tangere: Filippijnsche roman (Dutch)"
2183,27594,"An Eagle Flight: A Filipino Novel Adapted from Noli Me Tangere"
2183,14839,"Filipinas Dentro De Cien Años (Estudio Politico-Social) (Spanish)"
2183,14796,"El Consejo de los Dioses (Spanish)"
2183,14795,"Junto Al Pasig (Spanish)"
2183,20855,"Estatuto de la L. F. (Liga Filipina) (Spanish)"
2183,18802,"Paalaala sa mga Mapagusapin (Tagalog)"
7,11,"Alice's Adventures in Wonderland"
7,12,"Through the Looking-Glass"
7,35688,"Alice in Won"
7,28696,"Symbolic Logic"
7,19002,"Alice's Adventures Under"
7,13,"The Hunting of the Snark: An Agony in Eight Fits"
7,651,"Phantasmagoria and Other Poems"
7,620,"Sylvie and Bruno"
